1.04	689.29	0.2478	2.4309	3.6063	0.4336	0.001508799
1.05	789.56	0.2044	2.285	3.0534	0.3547	0.001329855
1.54	714.61	0.3327	2.7281	4.7222	0.4405	0.002155022
1.77	725.61	0.3799	2.7377	4.9741	0.5617	0.002439327
1.35	730.95	0.2937	2.6536	4.3039	0.3924	0.001846912
1.51	614.95	0.3321	2.6574	4.722	0.3991	0.002455484
1.11	629.78	0.2835	2.549	3.9209	0.4287	0.00176252
1.1	751.19	0.2319	2.4067	3.4858	0.3825	0.001464343
1.76	765.87	0.384	2.7863	4.8256	0.56	0.00229804
1.13	611.42	0.2928	2.5713	3.9649	0.423	0.001848157
1.25	649.94	0.2952	2.6237	4.2773	0.3997	0.001923254
1.75	710.99	0.3729	2.7231	4.9858	0.5423	0.002461357
1.7	642.9	0.3544	2.6443	4.956	0.4752	0.002644268
1.52	714.58	0.3292	2.7241	4.6925	0.4342	0.002127124
1.26	684.46	0.287	2.6161	4.2424	0.3975	0.001840867
1.79	775.49	0.3922	2.7958	4.8079	0.5796	0.002308218
1.73	717.46	0.369	2.7357	4.9506	0.5292	0.002411284
1.78	657.44	0.3681	2.6315	5.0266	0.5293	0.002707471
1.26	761.09	0.2649	2.5592	3.8982	0.369	0.00165552
1.66	776.57	0.36	2.784	4.646	0.4925	0.002137605
1.16	794.23	0.2295	2.412	3.3628	0.3414	0.001460534
1.38	677.78	0.3079	2.6741	4.5173	0.4017	0.002036059
1.25	691.09	0.2833	2.6061	4.1987	0.3968	0.001808737
1.43	651.86	0.319	2.6809	4.6327	0.403	0.002193723
1.78	604.48	0.3582	2.5312	4.9095	0.4824	0.00294468
1.67	770.25	0.3631	2.7831	4.6992	0.502	0.002168127
1.15	614.77	0.2938	2.5817	4.0222	0.4171	0.001870618
1.1	647.34	0.2751	2.5282	3.8795	0.4299	0.001699262
1.67	608.76	0.3475	2.6049	4.8624	0.436	0.002743281
1.56	610.85	0.337	2.6444	4.7694	0.4059	0.002553818
1.76	686.27	0.3704	2.6859	5.0209	0.5364	0.002564588
1.45	690.94	0.3175	2.6978	4.6235	0.4132	0.00209859
1.7	667.5	0.3571	2.6793	4.9732	0.4905	0.002546816
1.36	627.51	0.3137	2.6598	4.4977	0.3909	0.002167296
1.26	651.68	0.2955	2.6259	4.2886	0.3993	0.001933464
1.36	779.58	0.287	2.6368	4.0613	0.3736	0.001744529
1.42	625.06	0.3206	2.6669	4.595	0.3922	0.002271782
1.6	735	0.3454	2.75	4.7525	0.4669	0.002176871
1.49	693.67	0.3247	2.7092	4.6928	0.4235	0.002147995
1.42	710.97	0.31	2.6907	4.5189	0.4074	0.001997271
1.3	650.85	0.3017	2.6454	4.3875	0.3967	0.001997388
1.8	688.84	0.3767	2.6775	5.042	0.5592	0.002613089
1.42	724.33	0.3081	2.6899	4.4713	0.4056	0.001960432
1.68	705.14	0.3591	2.7273	4.9302	0.5005	0.002382506
1.73	626.76	0.3565	2.6034	4.9505	0.4786	0.002760227
1.4	724.96	0.3037	2.6796	4.4249	0.4012	0.001931141
1.66	637.89	0.3489	2.651	4.9165	0.455	0.00260233
